messstelle_id,gemeinde_id,name,datum_pn,stoff_nr,messergebnis_c,masseinheit,messergebnis_hinweis,gw_stockwerk,grundstueck,gwhorizont,gwleiter,gwk_lage_id,gwk_monitoring_id,turnus_wasserstand,wasserstandsmessstelle,guetemessstelle,beobachtung_wasserstand,betreiber,filterlaenge_cm,ausbaudurchmesser_mm,historischer_ruhe_wsp,oberkante_filter_cm,probengut,verfahren,messergebnis_cm
44060040,5170016,Hünxe,04/10/1984 00:00,1244,10.1821,mg/l,NULL,1,oeffentlich,NULL,NULL,27_06,27_06,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,NULL,Grundwasser,NULL,=
44060040,5170016,Hünxe,12/06/1990 00:00,1244,3.80722,mg/l,NULL,1,oeffentlich,NULL,NULL,27_06,27_06,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,NULL,Grundwasser,DIN 38405-D9-2 MAI 1979,=
40200280,5170032,Rheinberg,18/11/1988 00:00,1244,53.124,mg/l,NULL,1,privat,NULL,NULL,27_08,27_08,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,1456,Grundwasser,DIN 38405-D19 FEBRUAR 1988,=
40200280,5170032,Rheinberg,19/06/1989 00:00,1244,66.405,mg/l,NULL,1,privat,NULL,NULL,27_08,27_08,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,1456,Grundwasser,DIN 38405-D19 FEBRUAR 1988,=
40200280,5170032,Rheinberg,05/03/1991 00:00,1244,40.7284,mg/l,NULL,1,privat,NULL,NULL,27_08,27_08,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,1456,Grundwasser,DIN 38405-D19 FEBRUAR 1988,=
40300183,5170012,Hamminkeln,22/06/1988 00:00,1244,1.28383,mg/l,NULL,1,oeffentlich,NULL,NULL,928_01,928_01,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,2473,Grundwasser,DIN 38405-D19 FEBRUAR 1988,=
40300183,5170012,Hamminkeln,31/08/1989 00:00,1244,3.5416,mg/l,NULL,1,oeffentlich,NULL,NULL,928_01,928_01,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,2473,Grundwasser,DIN 38405-D19 FEBRUAR 1988,=
40300183,5170012,Hamminkeln,11/04/1995 00:00,1244,11.0675,mg/l,NULL,1,oeffentlich,NULL,NULL,928_01,928_01,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,2473,Grundwasser,DIN 38405-D19 FEBRUAR 1988,=
40300183,5170012,Hamminkeln,18/11/1986 00:00,1244,14.1664,mg/l,NULL,1,oeffentlich,NULL,NULL,928_01,928_01,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,2473,Grundwasser,DIN 38405-D9-2 MAI 1979,=
40300183,5170012,Hamminkeln,08/07/1999 00:00,1244,4.427,mg/l,Konzentration zu gering zur Bestimmung,1,oeffentlich,NULL,NULL,928_01,928_01,Messstelle inaktiv,ja,ja,-,NULL,NULL,NULL,NULL,2473,Grundwasser,DIN 38405-D19 FEBRUAR 1988,<
